Date,TempHighF,TempLowF,DewPointHighF,DewPointLowF,HumidityHighPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityLowMiles,WindHighMPH,WindGustMPH,PrecipitationSumInches,Events
2014-10-05,87,62,67.0,56.0,93.0,44.0,29.98,29.79,10.0,10.0,14.0,23.0,0,
2014-06-29,95,77,74.0,70.0,88.0,49.0,30.04,29.91,10.0,7.0,17.0,27.0,0,
2016-04-21,83,60,66.0,58.0,93.0,47.0,30.08,29.88,10.0,2.0,17.0,25.0,0.41,"Rain , Thunderstorm"
2015-08-09,103,74,61.515243902439025,50.93368902439025,100.0,29.0,30.112203647416415,29.931892097264434,9.99158377964805,7.233009708737864,13.231586940015186,21.37338403041825,0,
2014-06-25,89,71,76.0,68.0,94.0,59.0,30.07,29.92,10.0,7.233009708737864,16.0,24.0,0.49,"Fog , Rain , Thunderstorm"
2014-09-05,97,77,75.0,65.0,91.0,35.0,30.1,29.91,10.0,10.0,13.0,21.0,0.02,Rain
2015-07-28,100,77,75.0,65.0,91.0,35.0,30.0,29.86,10.0,6.0,14.0,25.0,0,
2015-12-17,68,39,37.0,23.0,79.0,28.0,30.26,29.99,10.0,10.0,14.0,25.0,0,
2015-05-01,84,55,56.0,50.0,86.0,33.0,30.07,29.98,10.0,10.0,10.0,15.0,0,
2016-11-14,82,56,62.0,55.0,100.0,48.0,30.15,30.0,10.0,7.233009708737864,9.0,16.0,0,Fog
2015-01-08,36,23,23.0,5.0,56.0,39.0,30.79,30.3,10.0,10.0,15.0,23.0,T,Rain
2015-03-12,73,52,55.0,49.0,96.0,49.0,30.19,29.99,10.0,9.0,13.0,18.0,0.02,Rain
2017-05-02,92,62,63.0,47.0,84.0,30.0,29.98,29.82,10.0,10.0,16.0,25.0,0,
2015-11-29,47,42,44.0,40.0,96.0,86.0,30.26,30.1,10.0,2.0,9.0,15.0,0.04,Rain
2014-10-20,82,63,64.0,58.0,100.0,45.0,30.08,29.98,10.0,4.0,8.0,13.0,0,
2015-03-26,70,54,65.0,33.0,93.0,31.0,30.19,29.86,10.0,2.0,20.0,29.0,0.05,Rain
2014-03-19,72,51,55.0,28.0,80.0,24.0,30.21,29.88,10.0,6.0,15.0,26.0,0,
2014-06-16,92,75,61.515243902439025,50.93368902439025,94.0,49.0,30.05,29.93,9.99158377964805,7.233009708737864,12.0,24.0,T,
2016-03-17,79,67,67.0,64.0,90.0,62.0,29.94,29.78,10.0,1.0,7.0,12.0,0.02,Rain
2014-08-17,101,79,74.0,59.0,85.0,27.0,30.02,29.84,10.0,10.0,16.0,24.0,0,
2016-10-31,86,60,69.0,58.0,100.0,44.0,30.13,29.96,10.0,7.233009708737864,12.0,17.0,0,Fog
2014-04-20,75,61,63.0,55.0,97.0,57.0,30.15,30.02,10.0,2.0,12.0,19.0,0,
2014-07-03,96,72,71.0,61.0,93.0,30.0,30.13,30.01,10.0,6.0,20.0,29.0,0.07,"Rain , Thunderstorm"
2015-03-05,47,31,32.0,18.0,89.0,33.0,30.64,30.21,10.0,2.0,20.0,33.0,0.13,"Rain , Thunderstorm"
2016-01-14,70,47,55.0,40.0,93.0,57.0,30.05,29.74,10.0,10.0,12.0,19.0,0,
2016-01-04,58,37,33.0,30.0,79.0,36.0,30.41,30.27,10.0,10.0,9.0,13.0,0,
2014-12-07,56,52,50.0,46.0,89.0,77.0,30.4,30.27,10.0,9.0,9.0,14.0,0,
2016-08-18,88,74,80.0,73.0,100.0,68.0,30.1,29.96,10.0,1.0,12.0,18.0,0.17,Rain
2016-09-13,94,74,75.0,69.0,100.0,46.0,30.03,29.89,10.0,6.0,9.0,15.0,T,Rain
2017-02-08,87,51,46.0,33.0,77.0,21.0,30.19,29.73,10.0,10.0,18.0,26.0,0,
2014-09-27,80,68,69.0,64.0,93.0,62.0,30.05,29.95,10.0,8.0,9.0,14.0,T,Rain
2017-02-16,70,40,39.0,34.0,79.0,28.0,30.2,30.0,10.0,10.0,12.0,15.0,0,
2015-11-04,78,61,68.0,59.0,100.0,64.0,30.07,29.96,10.0,5.0,13.0,20.0,T,Rain
2014-04-11,85,61,61.0,56.0,90.0,40.0,30.04,29.88,10.0,7.0,16.0,25.0,0,
2016-07-20,101,77,75.0,66.0,88.0,35.0,30.21,30.04,10.0,10.0,13.0,22.0,0,
2015-11-23,63,32,41.0,29.0,92.0,30.0,30.37,30.22,10.0,10.0,9.0,14.0,0,
2014-06-02,91,74,71.0,67.0,87.0,47.0,29.97,29.86,10.0,8.0,13.0,22.0,0,
2015-01-20,80,41,51.0,39.0,89.0,28.0,30.04,29.85,10.0,7.0,12.0,19.0,0,
2014-09-30,90,65,70.0,63.0,93.0,47.0,29.88,29.75,10.0,10.0,9.0,14.0,0,
2014-02-19,82,63,62.0,59.0,93.0,47.0,29.93,29.72,10.0,2.0,15.0,25.0,0,
2014-02-24,76,55,63.0,43.0,81.0,49.0,30.1,29.99,10.0,5.0,12.0,18.0,0,
2016-12-17,76,34,67.0,21.0,100.0,59.0,30.19,29.65,10.0,2.0,21.0,35.0,0,
2016-01-02,47,42,42.0,29.0,100.0,53.0,30.51,30.36,9.99158377964805,7.233009708737864,8.0,13.0,0.2,Rain
2016-08-09,102,79,76.0,68.0,91.0,40.0,29.94,29.8,10.0,10.0,13.0,20.0,0,
2016-09-09,95,77,75.0,71.0,94.0,49.0,30.0,29.86,10.0,10.0,13.0,20.0,0,
2017-06-20,98,76,72.0,66.0,82.0,38.0,29.98,29.84,10.0,10.0,10.0,17.0,0,
2015-01-26,74,46,43.0,32.0,61.0,25.0,30.29,30.15,10.0,10.0,10.0,17.0,0,
2014-04-15,65,39,32.0,16.0,59.0,19.0,30.38,30.15,10.0,10.0,12.0,17.0,0,
2015-05-08,79,73,75.0,70.0,93.0,82.0,29.93,29.78,10.0,1.0,13.0,19.0,0.29,"Rain , Thunderstorm"
2016-12-04,53,49,49.0,46.0,93.0,83.0,30.07,29.93,10.0,2.0,13.0,19.0,0.37,Rain
2015-02-13,70,39,44.0,32.0,79.0,37.0,30.38,30.22,10.0,10.0,10.0,15.0,0,
2017-06-23,104,78,75.0,68.0,91.0,35.0,29.88,29.68,10.0,8.0,14.0,22.0,0,
2014-01-09,70,53,60.0,50.0,93.0,66.0,30.18,30.0,10.0,7.233009708737864,12.0,19.0,0,Fog
2014-03-06,65,43,42.0,35.0,89.0,34.0,30.28,30.08,10.0,4.0,13.0,20.0,0,
2014-11-01,68,47,43.0,37.0,71.0,37.0,30.43,30.28,10.0,10.0,9.0,14.0,0,
2017-07-02,100,78,75.0,66.0,91.0,35.0,30.18,29.95,10.0,8.0,14.0,25.0,0,
2016-06-28,101,72,73.0,68.0,100.0,37.0,30.06,29.94,10.0,1.0,26.0,39.0,0.33,"Rain , Thunderstorm"
2015-06-01,88,64,66.0,63.0,93.0,46.0,30.08,29.99,10.0,9.0,8.0,12.0,0,
2016-04-30,86,66,74.0,62.0,94.0,51.0,29.81,29.56,10.0,7.233009708737864,13.0,23.0,0.92,"Fog , Rain , Thunderstorm"
2015-06-27,91,74,75.0,70.0,94.0,56.0,30.05,29.95,10.0,6.0,14.0,22.0,0.01,"Rain , Thunderstorm"
2015-11-20,77,52,61.0,49.0,93.0,40.0,30.13,29.93,10.0,10.0,12.0,17.0,0,
2015-11-28,44,39,42.0,38.0,100.0,82.0,30.28,30.19,10.0,4.0,13.0,19.0,0.25,Rain
2014-04-01,86,66,67.0,62.0,93.0,48.0,29.99,29.82,10.0,4.0,17.0,28.0,0,
2015-04-15,83,54,65.0,50.0,93.0,45.0,30.04,29.88,10.0,10.0,14.0,20.0,0,
2015-02-26,52,33,37.0,21.0,96.0,52.0,30.4,29.93,10.0,5.0,15.0,24.0,0,
2016-08-16,83,71,76.0,70.0,100.0,79.0,30.07,29.97,10.0,7.233009708737864,10.0,16.0,1.79,"Fog , Rain , Thunderstorm"
2015-07-21,97,75,73.0,66.0,94.0,38.0,29.95,29.79,10.0,8.0,13.0,19.0,0,
2016-04-09,77,58,58.0,44.0,84.0,41.0,30.16,29.99,10.0,2.0,16.0,26.0,0.02,"Rain , Thunderstorm"
2016-05-13,87,71,70.0,64.0,79.0,58.0,30.17,29.99,10.0,10.0,8.0,13.0,T,
2017-01-21,81,48,58.0,33.0,100.0,23.0,29.63,29.42,10.0,7.233009708737864,21.0,38.0,0.02,Fog
2016-03-28,75,48,46.0,40.0,71.0,31.0,30.18,29.99,10.0,10.0,10.0,18.0,0,
2017-04-12,78,61,65.0,59.0,97.0,60.0,30.22,30.1,10.0,7.0,10.0,15.0,0,
2014-06-20,91,75,73.0,67.0,88.0,50.0,30.11,29.96,10.0,9.0,13.0,19.0,0,
2016-05-26,90,68,78.0,67.0,93.0,59.0,29.98,29.73,10.0,5.0,16.0,28.0,0.52,"Rain , Thunderstorm"
2016-10-07,89,63,73.0,58.0,94.0,53.0,30.17,29.91,10.0,7.0,16.0,26.0,T,Rain
2015-05-14,87,68,74.0,66.0,100.0,65.0,30.1,29.94,10.0,1.0,15.0,24.0,0.08,Rain
2016-09-30,83,60,55.0,50.0,73.0,34.0,30.22,30.06,10.0,10.0,8.0,12.0,0,
2014-09-06,97,74,75.0,66.0,94.0,39.0,30.08,29.9,10.0,2.0,13.0,20.0,0.19,"Rain , Thunderstorm"
2017-02-09,68,43,37.0,28.0,54.0,24.0,30.38,30.19,10.0,10.0,10.0,19.0,0,
2015-09-29,94,67,66.0,62.0,87.0,38.0,29.91,29.82,10.0,10.0,10.0,17.0,0,
2015-06-05,90,69,72.0,66.0,97.0,47.0,30.08,29.95,10.0,10.0,12.0,17.0,T,
2015-12-27,73,36,69.0,33.0,93.0,84.0,29.81,29.54,10.0,1.0,21.0,33.0,1.32,"Rain , Thunderstorm"
2016-02-26,64,41,36.0,25.0,56.0,27.0,30.51,30.32,10.0,10.0,10.0,16.0,0,
2015-07-29,101,76,74.0,65.0,88.0,33.0,30.06,29.93,10.0,10.0,12.0,18.0,0,
2016-10-10,84,52,52.0,39.0,83.0,23.0,30.21,30.1,10.0,10.0,7.0,11.0,0,
2017-07-12,101,77,73.0,59.0,88.0,29.0,30.07,29.93,10.0,10.0,13.0,20.0,0,
2016-06-17,97,76,75.0,71.0,94.0,46.0,30.0,29.86,10.0,9.0,10.0,19.0,0,
2015-07-12,94,74,73.0,68.0,87.0,46.0,30.13,29.97,10.0,10.0,12.0,19.0,0,
2015-06-30,94,73,76.0,71.0,100.0,52.0,30.08,29.94,10.0,7.233009708737864,14.0,26.0,0.75,"Fog , Rain , Thunderstorm"
2016-10-26,87,64,66.0,60.0,93.0,44.0,30.18,30.04,10.0,10.0,10.0,14.0,0,
2017-07-06,100,77,74.0,63.0,88.0,31.0,30.15,29.98,10.0,10.0,12.0,20.0,0,Thunderstorm
2016-08-05,100,77,76.0,71.0,91.0,42.0,30.01,29.86,10.0,10.0,12.0,18.0,0,
2017-02-06,78,67,67.0,63.0,93.0,58.0,30.0,29.8,10.0,3.0,12.0,22.0,T,Rain
2015-10-13,94,64,73.0,28.0,79.0,10.0,30.04,29.86,10.0,10.0,12.0,20.0,0,
2015-03-30,80,64,64.0,60.0,93.0,58.0,30.18,30.03,10.0,9.0,12.0,18.0,0,
2015-02-18,66,32,34.0,25.0,89.0,22.0,30.39,30.25,10.0,10.0,13.0,18.0,0,
2015-10-23,80,71,76.0,69.0,100.0,82.0,29.94,29.82,10.0,1.0,21.0,32.0,0.43,"Rain , Thunderstorm"
2014-04-08,77,50,50.0,27.0,96.0,18.0,30.2,30.05,10.0,10.0,22.0,37.0,0,
2015-03-18,81,60,65.0,58.0,93.0,54.0,30.06,29.9,10.0,8.0,13.0,20.0,0.13,Rain
2015-12-16,63,46,39.0,25.0,53.0,27.0,30.03,29.81,10.0,10.0,15.0,26.0,0,
2015-07-05,91,76,75.0,71.0,94.0,56.0,30.08,29.91,10.0,8.0,14.0,26.0,0,
2016-02-06,60,39,41.0,25.0,79.0,28.0,30.4,30.3,10.0,10.0,15.0,29.0,0,"Rain , Thunderstorm"
2015-04-19,89,57,69.0,39.0,100.0,20.0,29.86,29.72,10.0,7.233009708737864,15.0,25.0,0,"Fog , Thunderstorm"
2016-05-16,80,67,67.0,65.0,100.0,67.0,30.02,29.82,10.0,2.0,12.0,17.0,0.26,Rain
2014-03-12,70,49,50.0,16.0,56.0,16.0,30.3,29.73,10.0,10.0,24.0,37.0,0,
2014-10-09,92,75,73.0,66.0,94.0,44.0,30.01,29.83,10.0,9.0,14.0,22.0,T,Rain
2017-01-11,80,59,63.0,57.0,93.0,51.0,30.03,29.87,10.0,9.0,16.0,29.0,0,
2016-03-21,68,35,39.0,30.0,82.0,32.0,30.47,30.24,10.0,10.0,12.0,20.0,0,
2016-03-20,64,42,32.0,25.0,62.0,25.0,30.47,30.3,10.0,10.0,15.0,23.0,0,
2014-05-03,94,58,42.0,26.0,44.0,10.0,30.06,29.95,10.0,10.0,13.0,20.0,0,
2014-07-13,100,74,71.0,62.0,93.0,33.0,30.09,29.96,10.0,10.0,13.0,17.0,0,
2014-10-28,84,65,68.0,63.0,93.0,55.0,30.06,29.89,10.0,10.0,8.0,12.0,0,
2016-01-24,70,35,52.0,31.0,82.0,40.0,30.15,29.9,10.0,10.0,14.0,24.0,0,
2014-02-15,76,42,52.0,22.0,64.0,22.0,30.17,30.01,10.0,10.0,15.0,23.0,0,
2017-02-26,72,42,64.0,33.0,93.0,60.0,30.05,29.87,10.0,9.0,12.0,18.0,T,
2016-06-08,92,70,72.0,67.0,93.0,49.0,29.93,29.84,10.0,7.0,12.0,18.0,0,
2016-09-16,95,75,74.0,68.0,94.0,44.0,30.0,29.84,10.0,10.0,9.0,12.0,0,
2017-04-08,82,56,62.0,52.0,93.0,51.0,30.09,29.89,10.0,10.0,15.0,26.0,0,
2017-01-19,71,52,55.0,50.0,100.0,57.0,29.99,29.7,10.0,10.0,12.0,18.0,T,Rain
2017-02-19,81,61,68.0,59.0,90.0,62.0,29.96,29.77,10.0,2.0,20.0,37.0,0.09,"Rain , Thunderstorm"
2014-06-06,92,73,71.0,69.0,87.0,52.0,29.97,29.83,10.0,9.0,14.0,25.0,0,
2017-07-22,103,77,74.0,61.0,88.0,27.0,29.96,29.81,10.0,10.0,13.0,22.0,0,
2017-02-28,80,69,68.0,66.0,90.0,67.0,29.96,29.81,10.0,2.0,14.0,24.0,0,
2014-04-19,78,54,56.0,52.0,93.0,43.0,30.18,30.05,10.0,4.0,13.0,19.0,0,
2014-11-27,64,42,37.0,27.0,76.0,27.0,30.56,30.37,10.0,10.0,10.0,16.0,0,
2014-05-12,82,62,76.0,61.0,94.0,79.0,29.95,29.74,10.0,7.233009708737864,18.0,26.0,2.45,"Fog , Rain , Thunderstorm"
2016-11-08,69,62,66.0,62.0,100.0,84.0,30.21,30.09,10.0,2.0,10.0,16.0,0.49,"Rain , Thunderstorm"
2016-12-03,52,49,50.0,47.0,100.0,89.0,30.04,29.86,10.0,2.0,12.0,21.0,1.29,Rain
2014-04-07,72,52,51.0,47.0,93.0,44.0,30.05,29.83,10.0,2.0,25.0,57.0,0.27,"Rain , Thunderstorm"
2016-12-07,56,39,48.0,39.0,100.0,72.0,30.26,30.04,10.0,2.0,13.0,19.0,0,
2017-01-09,71,43,55.0,35.0,89.0,49.0,30.46,30.12,10.0,10.0,15.0,27.0,0,
2014-10-19,82,65,66.0,61.0,93.0,54.0,30.12,30.0,10.0,6.0,8.0,15.0,0,
2015-06-21,86,72,78.0,70.0,100.0,70.0,30.08,29.98,10.0,7.233009708737864,17.0,29.0,0.93,"Fog , Rain , Thunderstorm"
2016-08-26,93,75,75.0,71.0,94.0,52.0,30.07,29.91,10.0,10.0,13.0,20.0,0,
2014-01-02,55,33,39.0,19.0,83.0,26.0,30.49,30.15,10.0,9.0,21.0,31.0,0,
2015-11-13,65,56,43.0,37.0,57.0,37.0,30.34,30.24,10.0,10.0,7.0,14.0,0,
2014-03-04,50,30,36.0,26.0,92.0,52.0,30.31,30.06,10.0,2.0,9.0,13.0,0.17,Rain
2014-05-29,89,66,65.0,61.0,93.0,38.0,29.89,29.79,10.0,10.0,9.0,15.0,0,
2015-12-26,78,70,70.0,68.0,93.0,76.0,29.83,29.62,10.0,5.0,21.0,31.0,0.1,Rain
2014-02-08,65,37,42.0,29.0,85.0,40.0,30.26,30.03,10.0,3.0,14.0,21.0,0,
2015-04-26,86,69,72.0,63.0,93.0,61.0,29.76,29.52,10.0,1.0,18.0,32.0,0.08,"Rain , Thunderstorm"
2014-03-18,83,47,56.0,31.0,73.0,24.0,29.83,29.67,10.0,10.0,18.0,26.0,0,
2014-08-14,98,70,68.0,56.0,73.0,27.0,30.03,29.89,10.0,10.0,9.0,16.0,0,
2016-09-28,89,65,65.0,52.0,93.0,29.0,30.09,30.01,10.0,10.0,8.0,11.0,0,
2015-12-04,63,37,43.0,35.0,92.0,39.0,30.52,30.4,10.0,10.0,9.0,13.0,0,
2016-12-25,80,68,67.0,64.0,90.0,58.0,30.01,29.85,10.0,10.0,17.0,32.0,0,
2017-05-20,84,66,71.0,65.0,93.0,61.0,29.99,29.77,10.0,1.0,15.0,23.0,1.22,"Rain , Thunderstorm"
2014-09-17,91,75,75.0,71.0,94.0,56.0,30.02,29.81,10.0,2.0,14.0,20.0,0.35,"Rain , Thunderstorm"
2015-12-10,78,51,62.0,46.0,100.0,56.0,29.93,29.76,10.0,2.0,10.0,19.0,0,
2017-06-11,93,73,70.0,62.0,87.0,36.0,29.96,29.82,10.0,10.0,13.0,21.0,0,
2014-12-06,69,55,58.0,48.0,90.0,53.0,30.38,30.19,10.0,9.0,13.0,20.0,0,
2016-11-17,82,58,66.0,54.0,100.0,47.0,29.96,29.81,10.0,1.0,15.0,26.0,0,
2014-05-01,77,52,43.0,25.0,63.0,15.0,30.19,30.01,10.0,10.0,10.0,18.0,0,
2016-04-07,85,48,51.0,41.0,86.0,23.0,30.09,29.93,10.0,10.0,9.0,19.0,0,
2015-11-21,66,41,63.0,25.0,93.0,32.0,30.37,29.91,10.0,7.0,22.0,35.0,T,
2015-08-12,105,79,69.0,66.0,55.0,31.0,30.01,29.91,10.0,10.0,13.0,20.0,0,
2014-07-07,96,73,70.0,63.0,87.0,34.0,30.01,29.91,10.0,10.0,13.0,19.0,0,
2014-05-05,92,60,59.0,44.0,90.0,32.0,30.01,29.79,10.0,10.0,16.0,27.0,0,
2014-09-02,98,78,75.0,68.0,91.0,40.0,29.97,29.84,10.0,10.0,17.0,32.0,0.01,
2016-10-28,86,61,64.0,57.0,90.0,44.0,30.23,30.09,10.0,10.0,12.0,16.0,0,
2014-10-18,86,66,69.0,60.0,90.0,44.0,30.06,29.93,10.0,5.0,9.0,12.0,0,
2015-04-30,83,50,51.0,47.0,89.0,31.0,30.05,29.92,10.0,8.0,10.0,14.0,0,
2016-12-09,46,33,26.0,16.0,56.0,34.0,30.69,30.52,10.0,10.0,12.0,18.0,0,
2015-09-18,96,75,73.0,61.0,94.0,33.0,29.96,29.79,10.0,10.0,12.0,18.0,0,
2016-01-05,56,36,40.0,32.0,85.0,51.0,30.37,30.21,10.0,10.0,9.0,12.0,T,Rain
2016-12-16,67,51,61.0,41.0,96.0,68.0,30.14,29.81,10.0,2.0,12.0,21.0,0,
2015-02-12,62,44,40.0,31.0,65.0,36.0,30.42,30.23,10.0,10.0,16.0,27.0,0,
2015-06-12,93,75,75.0,71.0,88.0,52.0,29.87,29.76,10.0,10.0,13.0,20.0,0.01,
2015-11-06,76,59,71.0,43.0,87.0,37.0,30.11,29.99,10.0,10.0,14.0,20.0,0.02,Rain
2016-02-04,59,34,28.0,19.0,75.0,23.0,30.55,30.41,10.0,10.0,8.0,12.0,0,
2015-02-08,78,58,57.0,50.0,93.0,50.0,30.0,29.81,10.0,8.0,14.0,26.0,0,
2014-09-09,97,74,73.0,65.0,87.0,38.0,29.98,29.81,10.0,10.0,13.0,20.0,0,
2014-10-27,86,62,65.0,58.0,93.0,40.0,29.94,29.81,10.0,10.0,14.0,23.0,0,
2015-10-22,82,70,74.0,67.0,100.0,69.0,30.04,29.87,10.0,2.0,16.0,25.0,0.16,Rain
2017-06-24,85,72,76.0,66.0,85.0,55.0,30.12,29.89,10.0,1.0,13.0,23.0,0.14,Rain
2016-06-02,84,68,72.0,63.0,100.0,51.0,29.94,29.82,10.0,1.0,10.0,18.0,0.36,"Rain , Thunderstorm"
2016-02-05,62,33,39.0,23.0,70.0,24.0,30.48,30.29,10.0,10.0,15.0,22.0,0,
2016-01-27,59,36,30.0,20.0,70.0,24.0,30.4,30.25,10.0,10.0,14.0,21.0,0,
2014-08-01,91,73,67.0,64.0,74.0,44.0,30.01,29.93,10.0,10.0,12.0,18.0,0,
2014-02-17,81,58,62.0,29.0,87.0,17.0,30.12,29.92,10.0,2.0,15.0,23.0,0,
2017-06-02,92,74,72.0,66.0,93.0,47.0,29.98,29.8,10.0,10.0,12.0,16.0,T,
2016-11-03,80,68,73.0,66.0,93.0,74.0,30.25,30.11,10.0,7.233009708737864,16.0,25.0,1.07,"Fog , Rain , Thunderstorm"
2015-06-15,89,74,76.0,69.0,100.0,55.0,29.98,29.84,10.0,2.0,16.0,24.0,0.19,"Rain , Thunderstorm"
2014-11-11,65,42,62.0,29.0,93.0,40.0,30.23,29.78,10.0,9.0,17.0,32.0,0,
2015-10-26,79,58,57.0,50.0,78.0,45.0,30.05,29.88,10.0,10.0,15.0,23.0,0,
2016-09-06,95,77,78.0,75.0,97.0,60.0,30.14,30.02,10.0,5.0,17.0,25.0,0.01,"Rain , Thunderstorm"
2016-02-19,81,64,62.0,56.0,81.0,45.0,30.17,30.01,10.0,10.0,16.0,28.0,0,
2015-09-26,95,68,65.0,51.0,84.0,24.0,29.99,29.86,10.0,10.0,12.0,21.0,0,
2017-05-25,94,62,70.0,52.0,76.0,34.0,29.77,29.65,10.0,10.0,17.0,29.0,0,
2014-01-17,64,43,31.0,15.0,45.0,17.0,30.37,30.21,10.0,9.0,14.0,21.0,0,
2014-06-08,90,76,72.0,64.0,87.0,46.0,29.99,29.76,10.0,5.0,16.0,27.0,T,Rain
2015-12-02,68,42,48.0,31.0,100.0,29.0,30.3,30.07,10.0,7.233009708737864,9.0,14.0,0,Fog
2017-01-17,59,48,55.0,46.0,100.0,72.0,30.19,30.03,10.0,7.233009708737864,14.0,22.0,1.57,"Fog , Rain , Thunderstorm"
2014-10-26,86,61,61.0,52.0,90.0,34.0,30.06,29.9,10.0,8.0,12.0,19.0,0,
2017-06-26,91,72,74.0,67.0,100.0,47.0,30.15,29.95,10.0,1.0,15.0,22.0,1.07,"Rain , Thunderstorm"
2014-04-26,86,68,69.0,62.0,90.0,55.0,29.87,29.64,10.0,2.0,16.0,28.0,T,Rain
2014-07-10,96,72,71.0,63.0,93.0,34.0,30.11,29.94,10.0,7.0,14.0,24.0,0,
2014-02-10,60,35,49.0,30.0,82.0,66.0,30.23,30.02,10.0,4.0,15.0,23.0,T,Rain
2015-05-17,84,66,72.0,65.0,100.0,65.0,30.05,29.8,10.0,1.0,22.0,35.0,2.6,"Rain , Thunderstorm"
2014-11-07,71,48,49.0,34.0,80.0,26.0,30.3,30.06,10.0,10.0,7.0,11.0,0,
2016-10-24,86,67,67.0,61.0,93.0,48.0,30.25,30.15,10.0,10.0,10.0,16.0,T,
2016-08-19,93,75,77.0,72.0,100.0,52.0,30.04,29.83,10.0,2.0,10.0,19.0,0.06,Rain
2014-11-21,74,62,69.0,62.0,100.0,79.0,30.12,29.99,10.0,7.233009708737864,13.0,20.0,0.33,"Fog , Rain"
2014-07-04,93,71,70.0,59.0,93.0,41.0,30.22,30.1,10.0,9.0,16.0,23.0,0,Thunderstorm
2014-10-21,83,58,61.0,46.0,93.0,28.0,30.09,29.98,10.0,6.0,10.0,16.0,0,
